Country,Date Start,Keywords
Austria,2020-03-16,university closure
Germany,2020-02-01,"international traveller quarantine - risk countries, traveller testing"
United Kingdom,2020-03-20,"nursery school closure, school closure, university closure"
United Kingdom,2020-03-16,blanket isolation - symptoms
United Kingdom,2020-03-16,isolation advice to elderly
United Kingdom,2020-03-16,"public announcement, social distancing"
United Kingdom,2020-03-14,"end of testing, testing criteria tightened"
United Kingdom,2020-02-26,international traveller quarantine - risk countries
United Kingdom,2020-03-18,outbound travel warning
Vietnam,2020-02-08,school closure
Vietnam,2020-02-04,international travel ban - risk countries
Vietnam,2020-02-03,school closure
Vietnam,2020-02-01,international travel ban - risk countries
Vietnam,2020-02-01,international travel ban - risk countries
Vietnam,2020-01-16,international traveller screening - risk countries
South Korea,2020-03-21,religious activity limitations
South Korea,2020-03-17,school closure
South Korea,2020-03-13,international traveller quarantine - risk countries
South Korea,2020-03-11,international traveller screening - all countries
South Korea,2020-03-10,epidemic data
South Korea,2020-03-09,"personal hygiene, social distancing"
South Korea,2020-03-05,"remote work, social distancing"
South Korea,2020-03-04,special management arrangements
South Korea,2020-03-02,remote schooling
South Korea,2020-03-02,school closure
South Korea,2020-03-02,discharged patient isolation
South Korea,2020-03-02,"hospital specialisation, hospital treatment, task group, treatment capacity"
South Korea,2020-03-02,"public announcement, public hygiene"
South Korea,2020-03-01,university closure
South Korea,2020-02-29,"religious activity limitations, social distancing"
South Korea,2020-02-29,"personal hygiene, social distancing"
South Korea,2020-02-29,remote work
South Korea,2020-02-27,medical staff protective equipment
South Korea,2020-02-27,"epidemic data, public hygiene"
South Korea,2020-02-26,"confirmed case isolation, religious activity cancellation, symptom isolation"
South Korea,2020-02-25,"hygiene enforcement, individual hygiene, social distancing"
South Korea,2020-02-25,social distancing
South Korea,2020-02-25,cohort isolation - no symptoms
South Korea,2020-02-24,"public announcement, special management arrangements"
South Korea,2020-02-23,"confirmed case isolation, public announcement"
South Korea,2020-02-22,"cohort isolation - no symptoms, test cohorts"
South Korea,2020-02-22,cohort isolation - no symptoms
South Korea,2020-02-21,"hospital specialisation, public facility cleaning"
South Korea,2020-02-19,cluster isolation - no symptoms
South Korea,2020-02-18,testing
South Korea,2020-02-07,"test symptomatic, testing criteria"
South Korea,2020-02-04,public facility cleaning
South Korea,2020-01-31,expansion of testing facilities
South Korea,2020-01-30,new testing method commenced
South Korea,2020-01-08,first case
South Korea,2020-03-13,hospital specialisation
South Korea,2020-03-12,"public facility cleaning, public hygiene"
Singapore,2020-03-23,international travel ban - all countries
Singapore,2020-02-07,public announcement
Israel,2020-01-30,international travel ban - risk countries
Japan,2020-03-24,very large event cancellation or postponement
Sweden,2020-03-20,"economic stimulus, financial incentive"
Sweden,2020-03-20,"economic incentives, economic stimulus"
Sweden,2020-03-19,"hygiene enforcement, manufacturing capacity"
Sweden,2020-03-18,"compulsory isolation, school closure, university closure"
Sweden,2020-03-18,"economic stimulus, financial incentive"
Sweden,2020-03-17,international travel ban - all countries
Sweden,2020-03-11,"new testing method commenced, testing criteria, testing criteria tightened"
Sweden,2020-03-11,"compulsory isolation, outdoor gatherings banned"
Sweden,2020-01-31,"case reporting, first case"
San Marino,2020-03-14,blanket isolation - no symptoms
San Marino,2020-02-27,"case reporting, first case"
San Marino,2020-03-08,"contact tracing, phone based location tracing"
Slovenia,2020-03-19,testing numbers total
Slovenia,2020-03-14,public transport stopped
Slovenia,2020-03-16,"nursery school closure, school closure, university closure"
Slovenia,2020-03-11,cohort isolation - no symptoms
Slovenia,2020-03-10,international travel ban - risk countries
Slovenia,2020-03-09,outdoor gatherings banned
Slovenia,2020-03-04,"case reporting, first case"
Slovenia,2020-03-09,indoor gatherings banned
Slovenia,2020-03-16,limited nonessential business suspension
Slovenia,2020-03-12,public announcement
Slovenia,2020-03-20,"blanket curfew - no symptoms, compulsory isolation"
Slovenia,2020-03-16,general nonessential business suspension
Slovenia,2020-03-16,"new testing method commenced, testing criteria"
Slovenia,2020-03-23,economic incentives
Israel,2020-03-18,testing numbers total
Israel,2020-03-17,phone based location tracing
Israel,2020-03-15,school closure
Israel,2020-03-09,international traveller quarantine - risk countries
Israel,2020-02-26,outbound travel warning
Israel,2020-02-17,international travel ban - risk countries
Israel,2020-03-15,"general nonessential business suspension, sports cancellation"
Israel,2020-03-18,international travel ban - all countries
Israel,2020-03-11,social distancing
Israel,2020-03-15,social distancing
Israel,2020-03-19,"social distancing, state of emergency"
Israel,2020-02-21,first case
US:New Jersey,2020-03-17,very large event cancellation or postponement
Canada,2020-03-18,"economic incentives, financial incentive"
Canada,2020-03-12,"handwashing encouragement, public mask encouragement"
Canada,2020-03-12,contact isolation - no symptoms
Canada,2020-03-12,contact isolation - symptoms
Canada,2020-03-12,"individual hygiene, personal hygiene"
Canada,2020-03-19,testing numbers total
Hong Kong,2020-03-29,case reporting
Hong Kong,2020-03-28,"contact isolation - no symptoms, voluntary isolation"
Hong Kong,2020-03-28,"compulsory isolation, contact isolation - no symptoms, quarantine zone"
Hong Kong,2020-03-30,"compulsory isolation, quaratine violation, sentence"
Hong Kong,2020-03-27,"compulsory isolation, contact isolation - no symptoms"
Hong Kong,2020-03-27,"indoor person density, limited nonessential business suspension, outdoor gatherings banned, restaurant limitations, social distancing advice"
Hong Kong,2020-03-25,"cluster isolation - no symptoms, domestic traveller screening, phone based location tracing"
Hong Kong,2020-03-26,contact isolation - no symptoms
Hong Kong,2020-03-25,limited nonessential business suspension
Hong Kong,2020-03-05,testing numbers total
Hong Kong,2020-03-20,outbound travel warning
Hong Kong,2020-03-20,"bracelet based location tracking, phone based location tracing"
Hong Kong,2020-03-25,"compulsory isolation, international travel ban - all countries, international traveller quarantine - all countries"
Hong Kong,2020-02-08,"compulsory isolation, confirmed case isolation, quarantine zone"
Hong Kong,2020-03-21,"general nonessential business suspension, public announcement, public mask and hygiene supply, remote work, school closure, social distancing, very large event cancellation or postponement, waste water treatment"
Hong Kong,2020-03-22,"case reporting, imported case, local case"
Hong Kong,2020-03-23,"case reporting, imported case, local case"
Hong Kong,2020-02-03,first death
Hong Kong,2020-03-23,sports cancellation
Hong Kong,2020-02-03,activism for stricter measures
Hong Kong,2020-03-23,"bracelet based location tracking, low compliance"
Hong Kong,2020-02-25,school closure
Hong Kong,2020-03-15,"encouraging symptomatic people to seek tests, international traveller screening - risk countries, public mask encouragement"
Hong Kong,2020-03-11,public mask and hygiene supply
Hong Kong,2020-03-13,"international traveller screening - risk countries, outbound travel warning"
Hong Kong,2020-02-24,"encouraging symptomatic people to seek tests, international traveller screening - risk countries, outbound travel warning, public mask encouragement"
