data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en
2020-02-24,Abruzzo,0,0,0,0,0,0,0,0,0,5,,
2020-02-24,Basilicata,0,0,0,0,0,0,0,0,0,0,,
2020-02-24,P.A. Bolzano,0,0,0,0,0,0,0,0,0,1,,
2020-02-24,Calabria,0,0,0,0,0,0,0,0,0,1,,
2020-02-24,Campania,0,0,0,0,0,0,0,0,0,10,,
2020-02-24,Emilia Romagna,10,2,12,6,18,18,0,0,18,148,,
2020-02-24,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,58,,
2020-02-24,Lazio,1,1,2,0,2,2,1,0,3,124,,
2020-02-24,Liguria,0,0,0,0,0,0,0,0,0,1,,
2020-02-24,Lombardia,76,19,95,71,166,166,0,6,172,1463,,
2020-02-24,Marche,0,0,0,0,0,0,0,0,0,16,,
2020-02-24,Molise,0,0,0,0,0,0,0,0,0,0,,
2020-02-24,Piemonte,2,0,2,1,3,3,0,0,3,141,,
2020-02-24,Puglia,0,0,0,0,0,0,0,0,0,0,,
2020-02-24,Sardegna,0,0,0,0,0,0,0,0,0,1,,
2020-02-24,Sicilia,0,0,0,0,0,0,0,0,0,5,,
2020-02-24,Toscana,0,0,0,0,0,0,0,0,0,140,,
2020-02-24,P.A. Trento,0,0,0,0,0,0,0,0,0,3,,
2020-02-24,Umbria,0,0,0,0,0,0,0,0,0,0,,
2020-02-24,Valle d'Aosta,0,0,0,0,0,0,0,0,0,7,,
2020-02-24,Veneto,12,4,16,16,32,32,0,1,33,2200,,
2020-02-25,Abruzzo,0,0,0,0,0,0,0,0,0,5,,
2020-02-25,Basilicata,0,0,0,0,0,0,0,0,0,0,,
2020-02-25,P.A. Bolzano,1,0,1,0,1,1,0,0,1,1,,
2020-02-25,Calabria,0,0,0,0,0,0,0,0,0,2,,
2020-02-25,Campania,0,0,0,0,0,0,0,0,0,10,,
2020-02-25,Emilia Romagna,15,2,17,9,26,8,0,0,26,391,,
2020-02-25,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,89,,
2020-02-25,Lazio,1,1,2,0,2,0,1,0,3,124,,
2020-02-25,Liguria,1,0,1,0,1,1,0,0,1,39,,
2020-02-25,Lombardia,79,25,104,127,231,65,0,9,240,3700,,
2020-02-25,Marche,0,0,0,0,0,0,0,0,0,21,,
2020-02-25,Molise,0,0,0,0,0,0,0,0,0,0,,
2020-02-25,Piemonte,2,0,2,1,3,0,0,0,3,141,,
2020-02-25,Puglia,0,0,0,0,0,0,0,0,0,0,,
2020-02-25,Sardegna,0,0,0,0,0,0,0,0,0,1,,
2020-02-25,Sicilia,1,0,2,2,3,3,0,0,3,5,,
2020-02-25,Toscana,2,0,2,0,2,2,0,0,2,296,,
2020-02-25,P.A. Trento,0,0,0,0,0,0,0,0,0,3,,
2020-02-25,Umbria,0,0,0,0,0,0,0,0,0,8,,
2020-02-25,Valle d'Aosta,0,0,0,0,0,0,0,0,0,7,,
2020-02-25,Veneto,12,7,19,23,42,10,0,1,43,3780,,
2020-02-26,Abruzzo,0,0,0,0,0,0,0,0,0,13,,
2020-02-26,Basilicata,0,0,0,0,0,0,0,0,0,0,,
2020-02-26,P.A. Bolzano,1,0,1,0,1,0,0,0,1,1,,
2020-02-26,Calabria,0,0,0,0,0,0,0,0,0,3,,
2020-02-26,Campania,0,0,0,0,0,0,0,0,0,10,,
2020-02-26,Emilia Romagna,20,3,23,23,46,20,0,1,47,577,,
2020-02-26,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,114,,
2020-02-26,Lazio,0,0,0,0,0,-2,3,0,3,124,,
2020-02-26,Liguria,6,0,6,5,11,10,0,0,11,66,,
2020-02-26,Lombardia,79,25,104,145,249,18,0,9,258,3208,,
2020-02-26,Marche,1,0,1,0,1,1,0,0,1,28,,
2020-02-26,Molise,0,0,0,0,0,0,0,0,0,0,,
2020-02-26,Piemonte,2,0,2,1,3,0,0,0,3,156,,
2020-02-26,Puglia,0,0,0,0,0,0,0,0,0,0,,
2020-02-26,Sardegna,0,0,0,0,0,0,0,0,0,1,,
2020-02-26,Sicilia,1,0,1,2,3,0,0,0,3,5,,
2020-02-26,Toscana,2,0,2,0,2,0,0,0,2,363,,
2020-02-26,P.A. Trento,0,0,0,0,0,0,0,0,0,3,,
2020-02-26,Umbria,0,0,0,0,0,0,0,0,0,8,,
2020-02-26,Valle d'Aosta,0,0,0,0,0,0,0,0,0,7,,
2020-02-26,Veneto,16,8,24,45,69,27,0,2,71,4900,,
2020-02-27,Abruzzo,1,0,1,0,1,1,0,0,1,33,,
2020-02-27,Basilicata,0,0,0,0,0,0,0,0,0,0,,
2020-02-27,P.A. Bolzano,1,0,1,0,1,0,0,0,1,2,,
2020-02-27,Calabria,0,0,0,0,0,0,0,0,0,14,,
2020-02-27,Campania,2,0,2,1,3,3,0,0,3,10,,
2020-02-27,Emilia Romagna,36,6,42,54,96,50,0,1,97,1033,,
2020-02-27,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,141,,
2020-02-27,Lazio,0,0,0,0,0,0,3,0,3,552,,
2020-02-27,Liguria,9,0,9,10,19,8,0,0,19,78,,
2020-02-27,Lombardia,172,41,213,136,349,100,40,14,403,3320,,
2020-02-27,Marche,2,1,3,0,3,2,0,0,3,46,,
2020-02-27,Molise,0,0,0,0,0,0,0,0,0,0,,
2020-02-27,Piemonte,2,0,2,0,2,-1,0,0,2,156,,
2020-02-27,Puglia,1,0,1,0,1,1,0,0,1,0,,
2020-02-27,Sardegna,0,0,0,0,0,0,0,0,0,1,,
2020-02-27,Sicilia,1,0,1,1,2,-1,2,0,4,5,,
2020-02-27,Toscana,2,0,2,0,2,0,0,0,2,410,,
2020-02-27,P.A. Trento,0,0,0,0,0,0,0,0,0,32,,
2020-02-27,Umbria,0,0,0,0,0,0,0,0,0,8,,
2020-02-27,Valle d'Aosta,0,0,0,0,0,0,0,0,0,9,,
2020-02-27,Veneto,19,8,27,82,109,40,0,2,111,6164,,
2020-02-28,Abruzzo,1,0,1,0,1,0,0,0,1,33,,
2020-02-28,Basilicata,0,0,0,0,0,0,0,0,0,0,,
2020-02-28,P.A. Bolzano,1,0,1,0,1,0,0,0,1,2,,
2020-02-28,Calabria,0,0,0,1,1,1,0,0,1,21,,
2020-02-28,Campania,2,0,2,2,4,1,0,0,4,213,,
2020-02-28,Emilia Romagna,56,6,62,81,143,47,0,2,145,1277,,
2020-02-28,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,169,,
2020-02-28,Lazio,0,0,0,0,0,0,3,0,3,611,,
2020-02-28,Liguria,9,0,9,10,19,0,0,0,19,112,,
2020-02-28,Lombardia,235,47,282,192,474,125,40,17,531,4835,,
2020-02-28,Marche,3,2,5,1,6,3,0,0,6,47,,
2020-02-28,Molise,0,0,0,0,0,0,0,0,0,0,,
2020-02-28,Piemonte,7,0,7,4,11,9,0,0,11,227,,
2020-02-28,Puglia,1,0,1,2,3,2,0,0,3,242,,
2020-02-28,Sardegna,0,0,0,0,0,0,0,0,0,1,,
2020-02-28,Sicilia,1,0,1,1,2,0,2,0,4,5,,
2020-02-28,Toscana,5,0,5,2,7,5,1,0,8,437,,
2020-02-28,P.A. Trento,0,0,0,0,0,0,0,0,0,32,,
