Month,AverageTemperature,Country
01,11.635348180539687,Åland
02,12.577013608582863,Åland
03,14.57424544136386,Åland
04,16.969518652622337,Åland
05,19.523826324124585,Åland
06,21.22447707777459,Åland
07,22.207359550068105,Åland
08,22.016857218298238,Åland
09,20.380570169626292,Åland
10,17.743976211024805,Åland
11,14.978009589041097,Åland
12,12.488278313359572,Åland
01,11.635348180539687,Afghanistan
02,12.577013608582863,Afghanistan
03,14.57424544136386,Afghanistan
04,16.969518652622337,Afghanistan
05,19.523826324124585,Afghanistan
06,21.22447707777459,Afghanistan
07,22.207359550068105,Afghanistan
08,22.016857218298238,Afghanistan
09,20.380570169626292,Afghanistan
10,17.743976211024805,Afghanistan
11,14.978009589041097,Afghanistan
12,12.488278313359572,Afghanistan
01,11.635348180539687,Africa
02,12.577013608582863,Africa
03,14.57424544136386,Africa
04,16.969518652622337,Africa
05,19.523826324124585,Africa
06,21.22447707777459,Africa
07,22.207359550068105,Africa
08,22.016857218298238,Africa
09,20.380570169626292,Africa
10,17.743976211024805,Africa
11,14.978009589041097,Africa
12,12.488278313359572,Africa
01,11.635348180539687,Albania
02,12.577013608582863,Albania
03,14.57424544136386,Albania
04,16.969518652622337,Albania
05,19.523826324124585,Albania
06,21.22447707777459,Albania
07,22.207359550068105,Albania
08,22.016857218298238,Albania
09,20.380570169626292,Albania
10,17.743976211024805,Albania
11,14.978009589041097,Albania
12,12.488278313359572,Albania
01,11.635348180539687,Algeria
02,12.577013608582863,Algeria
03,14.57424544136386,Algeria
04,16.969518652622337,Algeria
05,19.523826324124585,Algeria
06,21.22447707777459,Algeria
07,22.207359550068105,Algeria
08,22.016857218298238,Algeria
09,20.380570169626292,Algeria
10,17.743976211024805,Algeria
11,14.978009589041097,Algeria
12,12.488278313359572,Algeria
01,11.635348180539687,American Samoa
02,12.577013608582863,American Samoa
03,14.57424544136386,American Samoa
04,16.969518652622337,American Samoa
05,19.523826324124585,American Samoa
06,21.22447707777459,American Samoa
07,22.207359550068105,American Samoa
08,22.016857218298238,American Samoa
